zip_code,area_sq_mi,school,nightlife,health,outdoor
02108,0.512437,B-,A+,A+,A
02109,0.519532,B-,A+,A+,A
02110,0.499315,B-,A+,A+,A+
02111,0.359101,B-,A+,A+,A
02113,0.178387,B-,A+,A,A
02114,1.000633,B-,A+,A+,A
02115,1.306505,B-,A+,A+,A
02116,1.493871,B,A+,A+,A
02118,1.995378,B-,A+,A+,A
02119,2.956625,B-,A,B,A
02120,1.133423,B-,A+,A,A
02121,3.46922,B-,A,C+,A
02122,3.48192,B-,A,A-,A
02124,5.562191,B-,B+,B+,A
02125,4.531791,B-,A,B,A
02126,3.37314,B-,B-,B,A
02127,4.926657,B-,A+,A,A
02128,11.256182,B,A,B,A
02129,3.371045,B-,A+,A,A
02130,6.704966,B-,A+,A,A
02131,5.109834,B-,A-,A-,A
02132,9.066613,B-,B,A,A
02133,0.023812,-,-,-,-
02134,2.440429,B-,A+,A,A
02135,4.846116,B-,A+,A+,A
02136,8.591827,B-,A-,B+,A
02150,4.514782,C-,A,B-,A
02151,12.817912,B-,A-,B,A
02152,5.269405,B+,B+,A-,A
02163,0.336296,B+,B+,A-,A+
02199,0.104906,B-,A+,A+,A
02203,0.017688,-,-,-,-
02210,2.616944,B-,A+,A+,A
02215,1.85686,B+,A+,A+,A