ZIP Code,City/Town,Type
02108,Boston,Standard
02109,Boston,Standard
02110,Boston,Standard
02111,Boston,Standard
02112,Boston,PO Box
02113,Boston,Standard
02114,Boston,Standard
02115,Boston,Standard
02116,Boston,Standard
02117,Boston,PO Box
02118,Boston,Standard
02119,Roxbury,Standard
02120,Roxbury Crossing,Standard
02121,Dorchester,Standard
02122,Dorchester,Standard
02123,Boston,PO Box
02124,Dorchester Center,Standard
02125,Dorchester,Standard
02126,Mattapan,Standard
02127,South Boston,Standard
02128,East Boston,Standard
02129,Charlestown,Standard
02130,Jamaica Plain,Standard
02131,Roslindale,Standard
02132,West Roxbury,Standard
02133,Boston,Standard
02134,Allston,Standard
02135,Brighton,Standard
02136,Hyde Park,Standard
02137,Readville,PO Box
02150,Chelsea,Standard
02151,Revere,Standard
02152,Winthrop,Standard
02163,Boston,Standard
02196,Boston,PO Box
02199,Boston,Standard
02201,Boston,Unique
02203,Boston,Standard
02204,Boston,Unique
02205,Boston,PO Box
02206,Boston,Unique
02210,Boston,Standard
02211,Boston,Unique
02212,Boston,Unique
02215,Boston,Standard
02217,Boston,Unique
02222,Boston,Standard
02241,Boston,Unique
02283,Boston,PO Box
02284,Boston,PO Box
02293,Boston,Unique
02297,Boston,Unique
02298,Boston,PO Box